level,total_xp,id,username,discriminator,avatar,message_count,XP/LEVEL,level_requirement
1,241,716590772475920435,Gloom,6666,b8fb491bba00b38fc2c162cf44aedfb8,12,141,155
1,218,412830636643188738,eema-katete joehonstone,2134,47e9cecce3b9514707840ede0284fe79,10,118,155
1,211,384460733204922370,Lealtia,0988,faf070a0ba6d27b0560a35a7b594eb58,10,111,155
1,211,231142723632103424,udyr top,6882,0d1b9b53fed77b16a5f4a26c9e865faf,10,111,155
1,211,587398859924176896,aaaaaaaaaaaa,3540,,10,111,155
1,199,507019993196527636,xp47thunderbolt,1455,b3ac818c420b81b836c54e1972d83ae1,10,99,155
1,197,615865591949164574,Bill Cosby,1101,17a4402fb0a2f6ddddf50857fa56bc8e,9,97,155
1,197,386989869421035521,Columns,8238,b824284e5e415389842accd8e105c4f9,10,97,155
1,187,627777570464727040,Random Boners,2173,badff0958bdfd1e8b165660feceee8e3,10,87,155
1,186,456672643752525835,Stiffy,3745,7cbaf64a2e588fb5c23783892fe6b264,9,86,155
1,185,100007300206444544,Sir Nigga The 1st,4542,beb078f89e66f4726b5ec92d28da7ad9,9,85,155
1,175,448397174359982082,RandOm,6720,3f662f71b4911c5eaeb89b9fca5c27ad,10,75,155
1,173,524016652560498708,punkrockclownporn,3308,a66c50d94842c98f26f39237174f9c1b,8,73,155
1,161,680967268087234618,~*~☾𝚜𝚌𝚏𝚣𝚜𝚖𝚒𝚕𝚎𝚢☽~*~,8346,9496e76f2826eabf0155ee42ae807bfa,8,61,155
1,157,847725475450847262,ProMinecrafter,3469,26273cac33504355982fad6e682527c1,8,57,155
1,155,674160680886337536,Nigga-shit,6194,058e10d3e053460bfe58495064df6339,8,55,155
1,155,641057785479692288,Missterpiggle,8398,63b5ac2715158835c5038fd703555055,8,55,155
1,153,416476233308700701,𝐌𝐚𝐭𝐭 𝐇𝐮𝐞,1606,64e91f9c4d5b94b54182908b9a5394e2,7,53,155
1,149,563977743709241379,animalnumber,7695,eca1208f1a3324b6b1b31abda02b3f14,7,49,155
1,148,282357601843281922,gaypissandshits,3137,0fb825f81b635348b3078d5ff1fb0ad7,7,48,155
1,138,748074666161209344,Mari_mickflury987,8411,,8,38,155
1,131,694120902736216135,hottox_,2214,,7,31,155
1,,yes,,,,,,
1,,yes,,,,,,
1,,yes,,,,,,
